codigo,descricao
C50.6,Neoplasia Maligna da Porção Axilar da Mama
C50.8,Neoplasia Maligna da Mama Com Lesão Invasiva
C50.9,"Neoplasia Maligna da Mama, Não Especificada"
C51,Neoplasia Maligna da Vulva
C51.0,Neoplasia Maligna Dos Grandes Lábios
C51.1,Neoplasia Maligna Dos Pequenos Lábios
C51.2,Neoplasia Maligna do Clitóris
C51.8,Neoplasia Maligna da Vulva Com Lesão Invasiva
C51.9,"Neoplasia Maligna da Vulva, Não Especificada"
C52,Neoplasia Maligna da Vagina
C53,Neoplasia Maligna do Colo do Útero
C53.0,Neoplasia Maligna do Endocérvix
C53.1,Neoplasia Maligna do Exocérvix
C53.8,Neoplasia Maligna do Colo do Útero Com Lesão Invasiva
C53.9,"Neoplasia Maligna do Colo do Útero, Não Especificado"
C54,Neoplasia Maligna do Corpo do Útero
C54.0,Neoplasia Maligna do Istmo do Útero
C54.1,Neoplasia Maligna do Endométrio
C54.2,Neoplasia Maligna do Miométrio
C54.3,Neoplasia Maligna do Fundo do Útero
C54.8,Neoplasia Maligna do Corpo do Útero Com Lesão Invasiva
C54.9,"Neoplasia Maligna do Corpo do Útero, Não Especificado"
C55,"Neoplasia Maligna do Útero, Porção Não Especificada"
C56,Neoplasia Maligna do Ovário
C57,Neoplasia Maligna de Outros Órgãos Genitais Femininos e Dos Não Especificados
C57.0,Neoplasia Maligna da Trompa de Falópio
C57.1,Neoplasia Maligna do Ligamento Largo
C57.2,Neoplasia Maligna do Ligamento Redondo
C57.3,Neoplasia Maligna do Paramétrio
C57.4,Neoplasia Maligna Dos Anexos Uterinos
C57.7,Neoplasia Maligna de Outras Partes Especificadas Dos Órgãos Genitais Femininos
C57.8,Neoplasia Maligna Dos Órgãos Genitais Femininos Com Lesão Invasiva
C57.9,"Neoplasia Maligna de Órgão Genital Feminino, Não Especificado"
C58,Neoplasia Maligna da Placenta
C60,Neoplasia Maligna do Pênis
C60.0,Neoplasia Maligna do Prepúcio
C60.1,Neoplasia Maligna da Glande
C60.2,Neoplasia Maligna do Corpo do Pênis
C60.8,Neoplasia Maligna do Pênis Com Lesão Invasiva
C60.9,"Neoplasia Maligna do Pênis, Não Especificado"
C61,Neoplasia Maligna da Próstata
C62,Neoplasia Maligna Dos Testículos
C62.0,Neoplasia Maligna do Testículo Criptorquídico
C62.1,Neoplasia Maligna do Testículo Tópico
C62.9,"Neoplasia Maligna do Testículo, Sem Outras Especificações"
C63,Neoplasia Maligna de Outros Órgãos Genitais Masculinos e Dos Não Especificados
C63.0,Neoplasia Maligna do Epidídimo
C63.1,Neoplasia Maligna do Cordão Espermático
C63.2,Neoplasia Maligna do Escroto
C63.7,Neoplasia Maligna de Outros Órgãos Genitais Masculinos Especificados
C63.8,Neoplasia Maligna Dos Órgãos Genitais Masculinos Com Lesão Invasiva
C63.9,"Neoplasia Maligna de Órgão Genital Masculino, Não Especificado"
C64,"Neoplasia Maligna do Rim, Exceto Pelve Renal"
C65,Neoplasia Maligna da Pelve Renal
C66,Neoplasia Maligna Dos Ureteres
C67,Neoplasia Maligna da Bexiga
C67.0,Neoplasia Maligna do Trígono da Bexiga
C67.1,Neoplasia Maligna da Cúpula da Bexiga
C67.2,Neoplasia Maligna da Parede Lateral da Bexiga
C67.3,Neoplasia Maligna da Parede Anterior da Bexiga
C67.4,Neoplasia Maligna da Parede Posterior da Bexiga
C67.5,Neoplasia Maligna do Colo da Bexiga
C67.6,Neoplasia Maligna do Orifício Uretérico
C67.7,Neoplasia Maligna do Úraco
C67.8,Neoplasia Maligna da Bexiga Com Lesão Invasiva
C67.9,"Neoplasia Maligna da Bexiga, Sem Outra Especificações"
C68,Neoplasia Maligna de Outros Órgãos Urinários e Dos Não Especificados
C68.0,Neoplasia Maligna da Uretra
C68.1,Neoplasia Maligna da Glândula Parauretral
C68.8,Neoplasia Maligna Dos Órgãos Urinários Com Lesão Invasiva
C68.9,"Neoplasia Maligna de Órgão Urinário, Não Especificado"
C69,Neoplasia Maligna do Olho e Anexos
C69.0,Neoplasia Maligna da Conjuntiva
C69.1,Neoplasia Maligna da Córnea
C69.2,Neoplasia Maligna da Retina
C69.3,Neoplasia Maligna da Coróide
C69.4,Neoplasia Maligna do Corpo Ciliar
C69.5,Neoplasia Maligna da Glândula e Canal Lacrimal
C69.6,Neoplasia Maligna da Órbita
C69.8,Neoplasia Maligna do Olho e Anexos Com Lesão Invasiva
C69.9,"Neoplasia Maligna do Olho, Não Especificado"
C70,Neoplasia Maligna Das Meninges
C70.0,Neoplasia Maligna Das Meninges Cerebrais
C70.1,Neoplasia Maligna Das Meninges Espinhais
C70.9,"Neoplasia Maligna da Meninge, Não Especificada"
C71,Neoplasia Maligna do Encéfalo
C71.0,"Neoplasia Maligna do Cérebro, Exceto Lobos e Ventrículos"
C71.1,Neoplasia Maligna do Lobo Frontal
C71.2,Neoplasia Maligna do Lobo Temporal
C71.3,Neoplasia Maligna do Lobo Parietal
C71.4,Neoplasia Maligna do Lobo Occipital
C71.5,Neoplasia Maligna do Ventrículo Cerebral
C71.6,Neoplasia Maligna do Cerebelo
C71.7,Neoplasia Maligna do Tronco Cerebral
C71.8,Neoplasia Maligna do Encéfalo Com Lesão Invasiva
C71.9,"Neoplasia Maligna do Encéfalo, Não Especificado"
C72,"Neoplasia Maligna da Medula Espinhal, Dos Nervos Cranianos e de Outras Partes do Sistema Nervoso Central"
C72.0,Neoplasia Maligna da Medula Espinhal
C72.1,Neoplasia Maligna da Cauda Eqüina
C72.2,Neoplasia Maligna do Nervo Olfativo
C72.3,Neoplasia Maligna do Nervo Óptico
C72.4,Neoplasia Maligna do Nervo Acústico
C72.5,Neoplasia Maligna de Outros Nervos Cranianos e os Não Especificados
C72.8,Neoplasia Maligna do Encéfalo e de Outras Partes do Sistema Nervoso Central Com Lesão Invasiva
C72.9,"Neoplasia Maligna do Sistema Nervoso Central, Não Especificado"
C73,Neoplasia Maligna da Glândula Tireóide
C74,Neoplasia Maligna da Glândula Supra-renal (Glândula Adrenal)
C74.0,Neoplasia Maligna do Córtex da Supra-renal
C74.1,Neoplasia Maligna da Medula da Supra-renal
C74.9,"Neoplasia Maligna da Glândula Supra-renal, Não Especificada"
C75,Neoplasia Maligna de Outras Glândulas Endócrinas e de Estruturas Relacionadas
C75.0,Neoplasia Maligna da Glândula Paratireóide
C75.1,Neoplasia Maligna da Glândula Hipófise (pituitária)
C75.2,Neoplasia Maligna do Conduto Craniofaríngeo
C75.3,Neoplasia Maligna da Glândula Pineal
C75.4,Neoplasia Maligna do Corpo Carotídeo
C75.5,Neoplasia Maligna do Corpo Aórtico e Outros Paragânglios
C75.8,"Neoplasia Maligna Com Comprometimento Pluriglandular, Sem Outra Especificação"
C75.9,"Neoplasia Maligna de Glândula Endócrina, Não Especificada"
C76,Neoplasia Maligna de Outras Localizações e de Localizações Mal Definidas
C76.0,"Neoplasia Maligna da Cabeça, Face e Pescoço"
C76.1,Neoplasia Maligna do Tórax
C76.2,Neoplasia Maligna do Abdome
C76.3,Neoplasia Maligna da Pelve
C76.4,Neoplasia Maligna do Membro Superior
C76.5,Neoplasia Maligna do Membro Inferior
C76.7,Neoplasia Maligna de Outras Localizações Mal Definidas
C76.8,Neoplasia Maligna de Outras Localizações e Das Mal Definidas Com Lesão Invasiva
C77,Neoplasia Maligna Secundária e Não Especificada Dos Gânglios Linfáticos
C77.0,"Neoplasia Maligna Secundária e Não Especificada Dos Gânglios Linfáticos da Cabeça, Face e Pescoço"
C77.1,Neoplasia Maligna Secundária e Não Especificada Dos Gânglios Linfáticos Intratorácicos
C77.2,Neoplasia Maligna Secundária e Não Especificada Dos Gânglios Linfáticos Intra-abdominais
C77.3,Neoplasia Maligna Secundária e Não Especificada Dos Gânglios Linfáticos Axilares e Dos Membros Superiores
C77.4,Neoplasia Maligna Secundária e Não Especificada Dos Gânglios Linfáticos Inguinais e Dos Membros Inferiores
C77.5,Neoplasia Maligna Secundária e Não Especificada Dos Gânglios Linfáticos Intrapélvicos
C77.8,Neoplasia Maligna Secundária e Não Especificada Dos Gânglios Linfáticos de Múltiplas Regiões
C77.9,"Neoplasia Maligna Secundária e Não Especificada de Gânglio Linfático, Não Especificado"
C78,Neoplasia Maligna Secundária Dos Órgãos Respiratórios e Digestivos
C78.0,Neoplasia Maligna Secundária Dos Pulmões
C78.1,Neoplasia Maligna Secundária do Mediastino
C78.2,Neoplasia Maligna Secundária da Pleura
C78.3,Neoplasia Maligna Secundária de Outros Órgãos Respiratórios e Não Especificados
C78.4,Neoplasia Maligna Secundária do Intestino Delgado
C78.5,Neoplasia Maligna Secundária do Intestino Grosso e do Reto
C78.6,Neoplasia Maligna Secundária do Retroperitônio e do Peritônio
C78.7,Neoplasia Maligna Secundária do Fígado
C78.8,Neoplasia Maligna Secundária de Outros Órgãos Digestivos e Não Especificados
C79,Neoplasia Maligna Secundária de Outras Localizações
C79.0,Neoplasia Maligna Secundária do Rim e da Pelve Renal
C79.1,"Neoplasia Maligna Secundária da Bexiga, de Outro Órgão Urinário e Não Especificado"
C79.2,Neoplasia Maligna Secundária da Pele
C79.3,Neoplasia Maligna Secundária do Encéfalo e Das Meninges Cerebrais
C79.4,Neoplasia Maligna Secundária de Outras Partes do Sistema Nervoso e Não Especificadas
C79.5,Neoplasia Maligna Secundária Dos Ossos e da Medula Óssea
C79.6,Neoplasia Maligna Secundária do Ovário
C79.7,Neoplasia Maligna Secundária Das Glândulas Supra-renais (adrenais)
C79.8,Neoplasia Maligna Secundária de Outra Localização Especificada
C80,"Neoplasia Maligna, Sem Especificação de Localização"
C81,Doença de Hodgkin
C81.0,"Doença de Hodgkin, Predominância Linfocítica"
C81.1,"Doença de Hodgkin, Esclerose Nodular"
C81.2,"Doença de Hodgkin, Celularidade Mista"
C81.3,"Doença de Hodgkin, Depleção Linfocítica"
C81.7,Outra Forma da Doença de Hodgkin
C81.9,"Doença de Hodgkin, Não Especificada"
C82,"Linfoma Não-Hodgkin, Folicular (nodular)"
C82.0,"Linfoma Não-Hodgkin, Pequenas Células Clivadas, Folicular"
C82.1,"Linfoma Não-Hodgkin, Misto, de Pequenas e Grandes Células Clivadas, Folicular"
C82.2,"Linfoma Não-Hodgkin, Grandes Células, Folicular"
C82.7,"Outros Tipos de Linfoma Não-Hodgkin, Folicular"
C82.9,"Linfoma Não-Hodgkin, Folicular, Não Especificado"
C83,Linfoma Não-Hodgkin Difuso
C83.0,"Linfoma Não-Hodgkin Difuso, Pequenas Células (difuso)"
C83.1,"Linfoma Não-Hodgkin Difuso, Pequenas Células Clivadas (difuso)"
C83.2,"Linfoma Não-Hodgkin Difuso, Misto, de Pequenas e Grandes Células (difuso)"
C83.3,"Linfoma Não-Hodgkin Difuso, Grandes Células (difuso)"
C83.4,"Linfoma Não-Hodgkin Difuso, Imunoblástico (difuso)"
C83.5,"Linfoma Não-Hodgkin Difuso, Linfoblástico (difuso)"
C83.6,"Linfoma Não-Hodgkin Difuso, Indiferenciado (difuso)"
C83.7,Tumor de Burkitt
C83.8,Outros Tipos de Linfoma Não-Hodgkin Difuso
C83.9,"Linfoma Não-Hodgkin Difuso, Não Especificado"
C84,Linfomas de Células T Cutâneas e Periféricas
C84.0,Micose Fungóide
C84.1,Doença de Sézary
C84.2,Linfoma da Zona T
C84.3,Linfoma Linfoepitelióide
C84.4,"Linfoma de Células T, Periférico"
C84.5,Outros Linfomas de Células T e os Não Especificados
C85,Linfoma Não-Hodgkin de Outros Tipos e de Tipo Não Especificado
C85.0,Linfossarcoma
C85.1,"Linfoma de Células B, Não Especificado"
C85.7,Outros Tipos Especificados de Linfoma Não-Hodgkin
C85.9,Linfoma Não-Hodgkin de Tipo Não Especificado
C88,Doenças Imunoproliferativas Malignas
C88.0,Macroglobulinemia de Waldenström
C88.1,Doença de Cadeia Pesada Alfa
C88.2,Doença de Cadeia Pesada Gama
C88.3,Doença Imunoproliferativa do Intestino Delgado
C88.7,Outras Doenças Imunoproliferativas Malignas
C88.9,"Doença Imunoproliferativa Maligna, Não Especificada"
C90,Mieloma Múltiplo e Neoplasias Malignas de Plasmócitos
C90.0,Mieloma Múltiplo
C90.1,Leucemia Plasmocitária
C90.2,Plasmocitoma Extramedular
C91,Leucemia Linfóide
C91.0,Leucemia Linfoblástica Aguda
C91.1,Leucemia Linfocítica Crônica
C91.2,Leucemia Linfocítica Subaguda
C91.3,Leucemia Pró-linfocítica
C91.4,Leucemia de Células Pilosas
C91.5,Leucemia de Células T do Adulto
C91.7,Outras Leucemias Linfóides
C91.9,"Leucemia Linfóide, Não Especificada"
C92,Leucemia Mielóide
C92.0,Leucemia Mielóide Aguda
C92.1,Leucemia Mielóide Crônica
C92.2,Leucemia Mielóide Subaguda
C92.3,Sarcoma Mielóide
C92.4,Leucemia Pró-mielocítica Aguda
C92.5,Leucemia Mielomonocítica Aguda
C92.7,Outras Leucemias Mielóides
C92.9,"Leucemia Mielóide, Não Especificada"
C93,Leucemia Monocítica
C93.0,Leucemia Monocítica Aguda
C93.1,Leucemia Monocítica Crônica
C93.2,Leucemia Monocítica Subaguda
C93.7,Outras Leucemias Monocíticas
C93.9,"Leucemia Monocítica, Não Especificada"
C94,Outras Leucemias de Células de Tipo Especificado
C94.0,Eritremia e Eritroleucemia Agudas
C94.1,Eritremia Crônica
C94.2,Leucemia Megacarioblástica Aguda
C94.3,Leucemia de Mastócitos
C94.4,Panmielose Aguda
C94.5,Mielofibrose Aguda
C94.7,Outras Leucemias Especificadas
C95,Leucemia de Tipo Celular Não Especificado
C95.0,Leucemia Aguda de Tipo Celular Não Especificado
C95.1,Leucemia Crônica de Tipo Celular Não Especificado
C95.2,Leucemia Subaguda de Tipo Celular Não Especificado
C95.7,Outras Leucemias de Tipo Celular Não Especificado
C95.9,Leucemia Não Especificada
C96,"Outras Neoplasias Malignas e as Não Especificadas Dos Tecidos Linfático, Hematopoético e Tecidos Correlatos"
C96.0,Doença de Letterer-Siwe
C96.1,Histiocitose Maligna
C96.2,Tumor Maligno de Mastócitos
C96.3,Linfoma Histiocítico Verdadeiro
C96.7,"Outras Neoplasias Malignas Especificadas Dos Tecidos Linfático, Hematopoético e Tecidos Correlatos"
C96.9,"Neoplasia Maligna Dos Tecidos Linfático, Hematopoético e Tecidos Correlatos, Não Especificada"
C97,Neoplasias Malignas de Localizações Múltiplas Independentes (primárias)
D00,"Carcinoma in Situ da Cavidade Oral, do Esôfago e do Estômago"
D00.0,"Carcinoma in Situ Dos Lábios, Cavidade Oral e Faringe"
D00.1,Carcinoma in Situ do Esôfago
D00.2,Carcinoma in Situ do Estômago
D01,Carcinoma in Situ de Outros Órgãos Digestivos
D01.0,Carcinoma in Situ do Cólon
D01.1,Carcinoma in Situ da Junção Retossigmóide
D01.2,Carcinoma in Situ do Reto
D01.3,Carcinoma in Situ do Ânus e Canal Anal
D01.4,Carcinoma in Situ de Outras Partes do Intestino e as Não Especificadas
D01.5,"Carcinoma in Situ do Fígado, Vesícula Biliar e Vias Biliares"
D01.7,Carcinoma in Situ de Outros Órgãos Especificados do Aparelho Digestivo
D01.9,"Carcinoma in Situ de Órgãos Digestivos, Não Especificado"
D02,Carcinoma in Situ do Ouvido Médio e do Aparelho Respiratório
D02.0,Carcinoma in Situ da Laringe
D02.1,Carcinoma in Situ da Traquéia
D02.2,Carcinoma in Situ Dos Brônquios e Pulmões
D02.3,Carcinoma in Situ de Outras Partes do Aparelho Respiratório
D02.9,"Carcinoma in Situ do Aparelho Respiratório, Não Especificado"
D03,Melanoma in Situ
D03.0,Melanoma in Situ do Lábio
D03.1,"Melanoma in Situ da Pálpebra, Incluindo o Canto"
D03.2,Melanoma in Situ da Orelha e do Conduto Auditivo Externo
D03.3,"Melanoma in Situ de Outras Partes, e de Partes Não Especificadas da Face"
D03.4,Melanoma in Situ do Couro Cabeludo e do Pescoço
D03.5,Melanoma in Situ do Tronco
D03.6,"Melanoma in Situ Dos Membros Superiores, Incluindo Ombro"
D03.7,"Melanoma in Situ Dos Membros Inferiores, Incluindo Quadril"
D03.8,Melanoma in Situ de Outras Localizações
D03.9,"Melanoma in Situ, Não Especificado"
D04,Carcinoma in Situ da Pele
D04.0,Carcinoma in Situ da Pele do Lábio
D04.1,"Carcinoma in Situ da Pele da Pálpebra, Incluindo o Canto"
D04.2,Carcinoma in Situ da Pele da Orelha e do Conduto Auditivo Externo
D04.3,Carcinoma in Situ da Pele de Outras Partes e de Partes Não Especificadas da Face
D04.4,Carcinoma in Situ da Pele do Couro Cabeludo e do Pescoço
D04.5,Carcinoma in Situ da Pele do Tronco
D04.6,"Carcinoma in Situ da Pele Dos Membros Superiores, Incluindo Ombro"
D04.7,"Carcinoma in Situ da Pele Dos Membros Inferiores, Incluindo Quadril"
D04.8,Carcinoma in Situ da Pele de Outras Localizações
D04.9,"Carcinoma in Situ da Pele, Não Especificada"
D05,Carcinoma in Situ da Mama
D05.0,Carcinoma Lobular in Situ
D05.1,Carcinoma Intraductal in Situ
D05.7,Outros Carcinomas in Situ
D05.9,"Carcinoma in Situ da Mama, Não Especificado"
D06,Carcinoma in Situ do Colo do Útero (cérvix)
D06.0,Carcinoma in Situ do Endocérvix
D06.1,Carcinoma in Situ do Exocérvix
D06.7,Carcinoma in Situ de Outras Partes do Colo do Útero
D06.9,"Carcinoma in Situ do Colo do Útero, Não Especificado"
D07,Carcinoma in Situ de Outros Órgãos Genitais e Dos Não Especificados
D07.0,Carcinoma in Situ do Endométrio
D07.1,Carcinoma in Situ da Vulva
D07.2,Carcinoma in Situ da Vagina
D07.3,Carcinoma in Situ de Outros Órgãos Genitais Femininos e os Não Especificados
D07.4,Carcinoma in Situ do Pênis
D07.5,Carcinoma in Situ da Próstata
D07.6,Carcinoma in Situ de Outros Órgãos Genitais Masculinos e os Não Especificados
D09,Carcinoma in Situ de Outras Localizações e Das Não Especificadas
D09.0,Carcinoma in Situ da Bexiga
D09.1,Carcinoma in Situ de Outros Órgãos Urinários e os Não Especificados
D09.2,Carcinoma in Situ do Olho
D09.3,Carcinoma in Situ da Tireóide e de Outras Glândulas Endócrinas
D09.7,Carcinoma in Situ de Outras Localizações Especificadas
D09.9,"Carcinoma in Situ, Não Especificado"
D10,Neoplasia Benigna da Boca e da Faringe
D10.0,Neoplasia Benigna Dos Lábios
D10.1,Neoplasia Benigna da Língua
D10.2,Neoplasia Benigna do Assoalho da Boca
D10.3,Neoplasia Benigna de Outras Partes da Boca e as Não Especificadas
D10.4,Neoplasia Benigna da Amígdala
D10.5,Neoplasia Benigna de Outras Partes da Orofaringe
D10.6,Neoplasia Benigna da Nasofaringe
D10.7,Neoplasia Benigna da Hipofaringe
D10.9,"Neoplasia Benigna da Faringe, Não Especificada"
D11,Neoplasia Benigna de Glândulas Salivares Maiores
D11.0,Neoplasia Benigna da Glândula Parótida
D11.7,Neoplasia Benigna de Outras Glândulas Salivares Maiores
D11.9,"Neoplasia Benigna da Glândula Salivar Maior, Não Especificada"
D12,"Neoplasia Benigna do Cólon, Reto, Canal Anal e Ânus"
D12.0,Neoplasia Benigna do Ceco
D12.1,Neoplasia Benigna do Apêndice (vermiforme)
D12.2,Neoplasia Benigna do Cólon Ascendente
D12.3,Neoplasia Benigna do Cólon Transverso
D12.4,Neoplasia Benigna do Cólon Descendente
D12.5,Neoplasia Benigna do Cólon Sigmóide
D12.6,"Neoplasia Benigna do Cólon, Não Especificada"
D12.7,Neoplasia Benigna da Junção Retossigmóide
D12.8,Neoplasia Benigna do Reto
D12.9,Neoplasia Benigna do Canal Anal e Ânus
D13,Neoplasia Benigna de Outras Partes e de Partes Mal Definidas do Aparelho Digestivo
D13.0,Neoplasia Benigna do Esôfago
D13.1,Neoplasia Benigna do Estômago
D13.2,Neoplasia Benigna do Duodeno
D13.3,Neoplasia Benigna de Outras Partes e Partes Não Especificadas do Intestino Delgado
D13.4,Neoplasia Benigna do Fígado
D13.5,Neoplasia Benigna Das Vias Biliares Extra-hepáticas
D13.6,Neoplasia Benigna do Pâncreas
D13.7,Neoplasia Benigna do Pâncreas Endócrino
D13.9,Neoplasia Benigna de Localizações Mal Definidas do Aparelho Digestivo
D14,Neoplasia Benigna do Ouvido Médio e do Aparelho Respiratório
D14.0,"Neoplasia Benigna do Ouvido Médio, Cavidade Nasal e Seios Paranasais"
D14.1,Neoplasia Benigna da Laringe
D14.2,Neoplasia Benigna da Traquéia
D14.3,Neoplasia Benigna Dos Brônquios e Pulmão
D14.4,"Neoplasia Benigna do Aparelho Respiratório, Não Especificado"
D15,Neoplasia Benigna de Outros Órgãos Intratorácicos e Dos Não Especificados
D15.0,Neoplasia Benigna do Timo
D15.1,Neoplasia Benigna do Coração
D15.2,Neoplasia Benigna do Mediastino
D15.7,Neoplasia Benigna de Outros Órgãos Intratorácicos Especificados
D15.9,"Neoplasia Benigna de Órgão Intratorácico, Não Especificado"
D16,Neoplasia Benigna de Osso e de Cartilagem Articular
D16.0,Neoplasia Benigna da Omoplata (escápula) e Ossos Longos Dos Membros Superiores
D16.1,Neoplasia Benigna Dos Ossos Curtos Dos Membros Superiores
D16.2,Neoplasia Benigna Dos Ossos Longos Dos Membros Inferiores
D16.3,Neoplasia Benigna Dos Ossos Curtos Dos Membros Inferiores
D16.4,Neoplasia Benigna Dos Ossos do Crânio e da Face
D16.5,Neoplasia Benigna do Osso da Mandíbula
D16.6,Neoplasia Benigna da Coluna Vertebral
D16.7,"Neoplasia Benigna Das Costelas, do Esterno e da Clavícula"
D16.8,"Neoplasia Benigna Dos Ossos Pélvicos, Sacro e Cóccix"
D16.9,"Neoplasia Benigna do Osso e Cartilagem Articular, Não Especificado"
D17,Neoplasia Lipomatosa Benigna
D17.0,"Neoplasia Lipomatosa Benigna da Pele e do Tecido Subcutâneo da Cabeça, Face e Pescoço"
D17.1,Neoplasia Lipomatosa Benigna da Pele e Tecido Subcutâneo do Tronco
D17.2,Neoplasia Lipomatosa Benigna da Pele e Tecido Subcutâneo Dos Membros
D17.3,Neoplasia Lipomatosa Benigna da Pele e Tecido Subcutâneo de Outras Localizações e de Localizações Não Especificadas
D17.4,Neoplasia Lipomatosa Benigna de Órgãos Intratorácicos
D17.5,Neoplasia Lipomatosa Benigna de Órgãos Intra-abdominais
D17.6,Neoplasia Lipomatosa Benigna do Cordão Espermático
D17.7,Neoplasia Lipomatosa Benigna de Outras Localizações
D17.9,Neoplasia Lipomatosa Benigna de Localização Não Especificada
D18,Hemangioma e Linfangioma de Qualquer Localização
D18.0,Hemangioma de Qualquer Localização
D18.1,Linfangioma de Qualquer Localização
D19,Neoplasia Benigna de Tecido Mesotelial
D19.0,Neoplasia Benigna do Tecido Mesotelial da Pleura
D19.1,Neoplasia Benigna do Tecido Mesotelial do Peritônio
D19.7,Neoplasia Benigna do Tecido Mesotelial de Outras Localizações
D19.9,"Neoplasia Benigna do Tecido Mesotelial, Não Especificado"
D20,Neoplasia Benigna de Tecido Mole do Retroperitônio e do Peritônio
D20.0,Neoplasia Benigna do Retroperitônio
D20.1,Neoplasia Benigna do Peritônio
D21,Outras Neoplasias Benignas do Tecido Conjuntivo e de Outros Tecidos Moles
D21.0,"Neoplasia Benigna do Tecido Conjuntivo e Outros Tecidos Moles da Cabeça, Face e Pescoço"
D21.1,"Neoplasia Benigna do Tecido Conjuntivo e Outros Tecidos Moles Dos Membros Superiores, Incluindo Ombro"
D21.2,"Neoplasia Benigna do Tecido Conjuntivo e Outros Tecidos Moles Dos Membros Inferiores, Incluindo Quadril"
D21.3,Neoplasia Benigna do Tecido Conjuntivo e Outros Tecidos Moles do Tórax
D21.4,Neoplasia Benigna do Tecido Conjuntivo e Outros Tecidos Moles do Abdome
D21.5,Neoplasia Benigna do Tecido Conjuntivo e Outros Tecidos Moles da Pelve
D21.6,"Neoplasia Benigna do Tecido Conjuntivo e Outros Tecidos Moles do Tronco, Não Especificado"
D21.9,"Neoplasia Benigna do Tecido Conjuntivo e Outros Tecidos Moles, Sem Outra Especificação"
D22,Nevos Melanocíticos
D22.0,Nevo Melanocítico do Lábio
D22.1,"Nevo Melanocítico da Pálpebra, Incluindo o Canto"
D22.2,Nevo Melanocítico da Orelha e do Conduto Auditivo Externo
D22.3,Nevo Melanocítico de Outras Partes e de Partes Não Especificadas da Face
D22.4,Nevo Melanocítico do Couro Cabeludo e do Pescoço
D22.5,Nevo Melanocítico do Tronco
D22.6,"Nevo Melanocítico Dos Membros Superiores, Incluindo Ombro"
D22.7,"Nevo Melanocítico Dos Membros Inferiores, Incluindo Quadril"
D22.9,"Nevo Melanocítico, Não Especificado"
D23,Outras Neoplasias Benignas da Pele
D23.0,Neoplasia Benigna da Pele Dos Lábios
D23.1,"Neoplasia Benigna da Pele da Pálpebra, Incluindo o Canto"
D23.2,Neoplasia Benigna da Pele da Orelha e do Conduto Auditivo Externo
D23.3,Neoplasia Benigna da Pele de Outras Partes e de Partes Não Especificadas da Face
D23.4,Neoplasia Benigna da Pele do Couro Cabeludo e do Pescoço
D23.5,Neoplasia Benigna da Pele do Tronco
D23.6,"Neoplasia Benigna da Pele Dos Membros Superiores, Incluindo o Ombro"
D23.7,"Neoplasia Benigna da Pele Dos Membros Inferiores, Incluindo o Quadril"
D23.9,"Neoplasia Benigna da Pele, Não Especificada"
D24,Neoplasia Benigna da Mama
D25,Leiomioma do Útero
D25.0,Leiomioma Submucoso do Útero
D25.1,Leiomioma Intramural do Útero
D25.2,Leiomioma Subseroso do Útero
D25.9,"Leiomioma do Útero, Não Especificado"
D26,Outras Neoplasias Benignas do Útero
D26.0,Neoplasia Benigna do Colo do Útero
D26.1,Neoplasia Benigna do Corpo do Útero
D26.7,Neoplasia Benigna de Outras Partes do Útero
D26.9,"Neoplasia Benigna do Útero, Não Especificado"
D27,Neoplasia Benigna do Ovário
D28,Neoplasia Benigna de Outros Órgãos Genitais Femininos e de Órgãos Não Especificados
D28.0,Neoplasia Benigna da Vulva
D28.1,Neoplasia Benigna da Vagina
D28.2,Neoplasia Benigna Das Trompas e Ligamentos Uterinos
D28.7,Neoplasia Benigna de Outros Órgãos Genitais Femininos Especificados
D28.9,"Neoplasia Benigna de Órgão Genital Feminino, Não Especificado"
D29,Neoplasia Benigna Dos Órgãos Genitais Masculinos
D29.0,Neoplasia Benigna do Pênis
D29.1,Neoplasia Benigna da Próstata
D29.2,Neoplasia Benigna Dos Testículos
D29.3,Neoplasia Benigna do Epidídimo
D29.4,Neoplasia Benigna do Escroto
D29.7,Neoplasia Benigna de Outros Órgãos Genitais Masculinos
D29.9,"Neoplasia Benigna de Órgão Genital Masculino, Não Especificado"
D30,Neoplasia Benigna Dos Órgãos Urinários
D30.0,Neoplasia Benigna do Rim
D30.1,Neoplasia Benigna da Pelve Renal
D30.2,Neoplasia Benigna do Ureter
D30.3,Neoplasia Benigna da Bexiga
D30.4,Neoplasia Benigna da Uretra
D30.7,Neoplasia Benigna de Outros Órgãos Urinários
D30.9,"Neoplasia Benigna de Órgão Urinário, Não Especificado"
D31,Neoplasia Benigna do Olho e Anexos
D31.0,Neoplasia Benigna da Conjuntiva
D31.1,Neoplasia Benigna da Córnea
D31.2,Neoplasia Benigna da Retina
D31.3,Neoplasia Benigna da Coróide
D31.4,Neoplasia Benigna do Corpo Ciliar
D31.5,Neoplasia Benigna Das Glândulas e Dos Canais Lacrimais
D31.6,"Neoplasia Benigna da Órbita, Não Especificada"
D31.9,"Neoplasia Benigna do Olho, Não Especificado"
D32,Neoplasia Benigna Das Meninges
D32.0,Neoplasia Benigna Das Meninges Cerebrais
D32.1,Neoplasia Benigna Das Meninges Espinhais
D32.9,"Neoplasia Benigna Das Meninges, Não Especificada"
D33,Neoplasia Benigna do Encéfalo e de Outras Partes do Sistema Nervoso Central
D33.0,"Neoplasia Benigna do Encéfalo, Supratentorial"
